evaluation_year,seed_left,seed_right,rank_spearman
2024,17,29,0.8407224958949097
2024,17,43,0.8582375478927203
2024,17,71,0.9074986316365626
2024,17,101,0.840175150519978
2024,29,43,0.8270388615216201
2024,29,71,0.8297755883962781
2024,29,101,0.8243021346469621
2024,43,71,0.8040503557744937
2024,43,101,0.8784893267651889
2024,71,101,0.7400109469074986
2025,17,29,0.7739463601532567
2025,17,43,0.6579091406677614
2025,17,71,0.8111658456486042
2025,17,101,0.7263273125342091
2025,29,43,0.739463601532567
2025,29,71,0.735632183908046
2025,29,101,0.8812260536398466
2025,43,71,0.7547892720306513
2025,43,101,0.8648056923918993
2025,71,101,0.8478379857690203
